@RELATION eval  
   
@ATTRIBUTE Type NUMERIC 
@ATTRIBUTE Size {100, 200} 
@ATTRIBUTE Instance NUMERIC  
@ATTRIBUTE Budget NUMERIC  
@ATTRIBUTE PopSize NUMERIC  
@ATTRIBUTE Info NUMERIC  
@ATTRIBUTE nb_evaluation NUMERIC  
@ATTRIBUTE AVG_dist NUMERIC  
@ATTRIBUTE MaxMin NUMERIC  
@ATTRIBUTE PR NUMERIC  
@ATTRIBUTE Diversification {1, 0}  

@DATA 
0,100,0.556,0.505,0.204,0.451,0,0.013,0.056,0.257,0
0,100,0.556,0.505,0.204,0.313,0,0.021,0.059,0.183,0
0,100,0.556,0.505,0.204,0.129,0,0.034,0.056,0.107,0
0,100,0.556,0.505,0.204,0.089,0,0.021,0.021,0.036,0
0,100,0.556,0.505,0.204,0.048,0,0.024,0.024,0.036,0
0,100,0.556,0.505,0.204,0.041,0,0.025,0.025,0.036,0
0,100,0.556,0.505,0.204,0.0,0,0.035,0.035,0.036,0
0,100,0.556,0.505,0.612,1.0,0,0.007,0.116,0.434,0
0,100,0.556,0.505,0.612,0.451,0,0.013,0.057,0.263,0
0,100,0.556,0.505,0.612,0.313,0,0.021,0.059,0.183,0
0,100,0.556,0.505,0.612,0.129,0,0.034,0.056,0.107,0
0,100,0.556,0.505,0.612,0.089,0,0.021,0.021,0.036,0
0,100,0.556,0.505,0.612,0.048,0,0.024,0.024,0.036,0
0,100,0.556,0.505,0.612,0.041,0,0.025,0.025,0.036,0
0,100,0.556,0.505,0.612,0.0,0,0.035,0.035,0.036,0
0,100,0.556,0.505,1.02,1.0,0,0.007,0.113,0.456,0
0,100,0.556,0.505,1.02,0.451,0,0.013,0.057,0.263,0
0,100,0.556,0.505,1.02,0.313,0,0.021,0.059,0.183,0
0,100,0.556,0.505,1.02,0.129,0,0.034,0.056,0.107,0
0,100,0.556,0.505,1.02,0.089,0,0.021,0.021,0.036,0
0,100,0.556,0.505,1.02,0.048,0,0.024,0.024,0.036,0
0,100,0.556,0.505,1.02,0.041,0,0.025,0.025,0.036,0
0,100,0.556,0.505,1.02,0.0,0,0.035,0.035,0.036,0
0,100,0.556,0.8,0.02,1.0,0,0.05,0.259,0.004,0
0,100,0.556,0.8,0.02,0.451,0,0.029,0.084,0.025,0
0,100,0.556,0.8,0.02,0.313,0,0.028,0.072,0.045,0
0,100,0.556,0.8,0.02,0.129,0,0.037,0.06,0.08,0
0,100,0.556,0.8,0.02,0.089,0,0.019,0.019,0.071,0
0,100,0.556,0.8,0.02,0.048,0,0.024,0.024,0.036,0
0,100,0.556,0.8,0.02,0.041,0,0.025,0.025,0.036,0
0,100,0.556,0.8,0.02,0.0,0,0.035,0.035,0.036,0
0,100,0.556,0.8,0.082,1.0,0,0.024,0.22,0.077,0
0,100,0.556,0.8,0.082,0.451,0,0.015,0.062,0.161,0
0,100,0.556,0.8,0.082,0.313,0,0.021,0.061,0.164,0
0,100,0.556,0.8,0.082,0.129,0,0.034,0.056,0.107,0
0,100,0.556,0.8,0.082,0.089,0,0.021,0.021,0.036,0
0,100,0.556,0.8,0.082,0.048,0,0.024,0.024,0.036,0
0,100,0.556,0.8,0.082,0.041,0,0.025,0.025,0.036,0
0,100,0.556,0.8,0.082,0.0,0,0.035,0.035,0.036,0
0,100,0.556,0.8,0.204,1.0,0,0.015,0.173,0.204,0
0,100,0.556,0.8,0.204,0.451,0,0.013,0.056,0.257,0
0,100,0.556,0.8,0.204,0.313,0,0.021,0.059,0.183,0
0,100,0.556,0.8,0.204,0.129,0,0.034,0.056,0.107,0
0,100,0.556,0.8,0.204,0.089,0,0.021,0.021,0.036,0
0,100,0.556,0.8,0.204,0.048,0,0.024,0.024,0.036,0
0,100,0.556,0.8,0.204,0.041,0,0.025,0.025,0.036,0
0,100,0.556,0.8,0.204,0.0,0,0.035,0.035,0.036,0
0,100,0.556,0.8,0.612,1.0,0,0.007,0.116,0.434,0
0,100,0.556,0.8,0.612,0.451,0,0.013,0.057,0.263,0
0,100,0.556,0.8,0.612,0.313,0,0.021,0.059,0.183,0
0,100,0.556,0.8,0.612,0.129,0,0.034,0.056,0.107,0
0,100,0.556,0.8,0.612,0.089,0,0.021,0.021,0.036,0
0,100,0.556,0.8,0.612,0.048,0,0.024,0.024,0.036,0
0,100,0.556,0.8,0.612,0.041,0,0.025,0.025,0.036,0
0,100,0.556,0.8,0.612,0.0,0,0.035,0.035,0.036,0
0,100,0.556,0.8,1.02,1.0,0,0.007,0.113,0.456,0
0,100,0.556,0.8,1.02,0.451,0,0.013,0.057,0.263,0
0,100,0.556,0.8,1.02,0.313,0,0.021,0.059,0.183,0
0,100,0.556,0.8,1.02,0.129,0,0.034,0.056,0.107,0
0,100,0.556,0.8,1.02,0.089,0,0.021,0.021,0.036,0
0,100,0.556,0.8,1.02,0.048,0,0.024,0.024,0.036,0
0,100,0.556,0.8,1.02,0.041,0,0.025,0.025,0.036,0
0,100,0.556,0.8,1.02,0.0,0,0.035,0.035,0.036,0
0,100,0.556,1.005,0.02,1.0,0,0.05,0.259,0.004,0
0,100,0.556,1.005,0.02,0.451,0,0.029,0.084,0.025,0
0,100,0.556,1.005,0.02,0.313,0,0.028,0.072,0.045,0
0,100,0.556,1.005,0.02,0.129,0,0.037,0.06,0.08,0
0,100,0.556,1.005,0.02,0.089,0,0.019,0.019,0.071,0
0,100,0.556,1.005,0.02,0.048,0,0.024,0.024,0.036,0
0,100,0.556,1.005,0.02,0.041,0,0.025,0.025,0.036,0
0,100,0.556,1.005,0.02,0.0,0,0.035,0.035,0.036,0
0,100,0.556,1.005,0.082,1.0,0,0.024,0.22,0.077,0
0,100,0.556,1.005,0.082,0.451,0,0.015,0.062,0.161,0
0,100,0.556,1.005,0.082,0.313,0,0.021,0.061,0.164,0
0,100,0.556,1.005,0.082,0.129,0,0.034,0.056,0.107,0
0,100,0.556,1.005,0.082,0.089,0,0.021,0.021,0.036,0
0,100,0.556,1.005,0.082,0.048,0,0.024,0.024,0.036,0
0,100,0.556,1.005,0.082,0.041,0,0.025,0.025,0.036,0
0,100,0.556,1.005,0.082,0.0,0,0.035,0.035,0.036,0
0,100,0.556,1.005,0.204,1.0,0,0.015,0.173,0.204,0
0,100,0.556,1.005,0.204,0.451,0,0.013,0.056,0.257,0
0,100,0.556,1.005,0.204,0.313,0,0.021,0.059,0.183,0
0,100,0.556,1.005,0.204,0.129,0,0.034,0.056,0.107,0
0,100,0.556,1.005,0.204,0.089,0,0.021,0.021,0.036,0
0,100,0.556,1.005,0.204,0.048,0,0.024,0.024,0.036,0
0,100,0.556,1.005,0.204,0.041,0,0.025,0.025,0.036,0
0,100,0.556,1.005,0.204,0.0,0,0.035,0.035,0.036,0
0,100,0.556,1.005,0.612,1.0,0,0.007,0.116,0.434,0
0,100,0.556,1.005,0.612,0.451,0,0.013,0.057,0.263,0
0,100,0.556,1.005,0.612,0.313,0,0.021,0.059,0.183,0
0,100,0.556,1.005,0.612,0.129,0,0.034,0.056,0.107,0
0,100,0.556,1.005,0.612,0.089,0,0.021,0.021,0.036,0
0,100,0.556,1.005,0.612,0.048,0,0.024,0.024,0.036,0
0,100,0.556,1.005,0.612,0.041,0,0.025,0.025,0.036,0
0,100,0.556,1.005,0.612,0.0,0,0.035,0.035,0.036,0
0,100,0.556,1.005,1.02,1.0,0,0.007,0.113,0.456,0
0,100,0.556,1.005,1.02,0.451,0,0.013,0.057,0.263,0
0,100,0.556,1.005,1.02,0.313,0,0.021,0.059,0.183,0
0,100,0.556,1.005,1.02,0.129,0,0.034,0.056,0.107,0
0,100,0.556,1.005,1.02,0.089,0,0.021,0.021,0.036,0
0,100,0.556,1.005,1.02,0.048,0,0.024,0.024,0.036,0
0,100,0.556,1.005,1.02,0.041,0,0.025,0.025,0.036,0
0,100,0.556,1.005,1.02,0.0,0,0.035,0.035,0.036,0
0,100,0.667,0.005,0.02,1.0,0,0.175,0.373,0.0,0
0,100,0.667,0.005,0.02,0.451,0,0.135,0.23,0.0,0
0,100,0.667,0.005,0.02,0.313,0,0.107,0.168,0.0,0
0,100,0.667,0.005,0.02,0.129,0,0.057,0.062,0.0,0
0,100,0.667,0.005,0.02,0.089,0,0.055,0.061,0.0,0
0,100,0.667,0.005,0.02,0.048,0,0.042,0.048,0.0,0
0,100,0.667,0.005,0.02,0.041,0,0.04,0.046,0.0,0
0,100,0.667,0.005,0.02,0.0,0,0.041,0.041,0.0,0
0,100,0.667,0.005,0.082,1.0,0,0.412,0.467,0.0,0
0,100,0.667,0.005,0.082,0.451,0,0.275,0.312,0.0,0
0,100,0.667,0.005,0.082,0.313,0,0.228,0.256,0.0,0
0,100,0.667,0.005,0.082,0.129,0,0.095,0.099,0.0,0
0,100,0.667,0.005,0.082,0.089,0,0.065,0.071,0.0,0
0,100,0.667,0.005,0.082,0.048,0,0.042,0.048,0.0,0
0,100,0.667,0.005,0.082,0.041,0,0.04,0.046,0.0,0
0,100,0.667,0.005,0.082,0.0,0,0.041,0.041,0.0,0
0,100,0.667,0.005,0.204,1.0,0,0.46,0.505,0.0,0
0,100,0.667,0.005,0.204,0.451,0,0.283,0.32,0.0,0
0,100,0.667,0.005,0.204,0.313,0,0.227,0.257,0.0,0
0,100,0.667,0.005,0.204,0.129,0,0.095,0.099,0.0,0
0,100,0.667,0.005,0.204,0.089,0,0.065,0.071,0.0,0
0,100,0.667,0.005,0.204,0.048,0,0.042,0.048,0.0,0
0,100,0.667,0.005,0.204,0.041,0,0.04,0.046,0.0,0
0,100,0.667,0.005,0.204,0.0,0,0.041,0.041,0.0,0
0,100,0.667,0.005,0.612,1.0,0,0.459,0.506,0.0,0
0,100,0.667,0.005,0.612,0.451,0,0.283,0.32,0.0,0
0,100,0.667,0.005,0.612,0.313,0,0.227,0.257,0.0,0
0,100,0.667,0.005,0.612,0.129,0,0.095,0.099,0.0,0
0,100,0.667,0.005,0.612,0.089,0,0.065,0.071,0.0,0
0,100,0.667,0.005,0.612,0.048,0,0.042,0.048,0.0,0
0,100,0.667,0.005,0.612,0.041,0,0.04,0.046,0.0,0
0,100,0.667,0.005,0.612,0.0,0,0.041,0.041,0.0,0
0,100,0.667,0.005,1.02,1.0,0,0.459,0.506,0.0,0
0,100,0.667,0.005,1.02,0.451,0,0.283,0.32,0.0,0
0,100,0.667,0.005,1.02,0.313,0,0.227,0.257,0.0,0
0,100,0.667,0.005,1.02,0.129,0,0.095,0.099,0.0,0
0,100,0.667,0.005,1.02,0.089,0,0.065,0.071,0.0,0
0,100,0.667,0.005,1.02,0.048,0,0.042,0.048,0.0,0
0,100,0.667,0.005,1.02,0.041,0,0.04,0.046,0.0,0
0,100,0.667,0.005,1.02,0.0,0,0.041,0.041,0.0,0
0,100,0.667,0.015,0.02,1.0,0,0.078,0.302,0.0,0
0,100,0.667,0.015,0.02,0.451,0,0.041,0.127,0.0,0
0,100,0.667,0.015,0.02,0.313,0,0.037,0.098,0.0,0
0,100,0.667,0.015,0.02,0.129,0,0.022,0.024,0.0,0
0,100,0.667,0.015,0.02,0.089,0,0.025,0.029,0.0,0
0,100,0.667,0.015,0.02,0.048,0,0.03,0.036,0.0,0
0,100,0.667,0.015,0.02,0.041,0,0.032,0.038,0.0,0
0,100,0.667,0.015,0.02,0.0,0,0.04,0.04,0.0,0
0,100,0.667,0.015,0.082,1.0,0,0.176,0.343,0.0,0
0,100,0.667,0.015,0.082,0.451,0,0.085,0.15,0.0,0
0,100,0.667,0.015,0.082,0.313,0,0.053,0.102,0.0,0
0,100,0.667,0.015,0.082,0.129,0,0.02,0.022,0.0,0
0,100,0.667,0.015,0.082,0.089,0,0.027,0.032,0.0,0
0,100,0.667,0.015,0.082,0.048,0,0.031,0.037,0.0,0
0,100,0.667,0.015,0.082,0.041,0,0.032,0.038,0.0,0
0,100,0.667,0.015,0.082,0.0,0,0.04,0.04,0.0,0
0,100,0.667,0.015,0.204,1.0,0,0.283,0.358,0.0,0
0,100,0.667,0.015,0.204,0.451,0,0.108,0.163,0.0,0
0,100,0.667,0.015,0.204,0.313,0,0.059,0.098,0.0,0
0,100,0.667,0.015,0.204,0.129,0,0.02,0.021,0.0,0
0,100,0.667,0.015,0.204,0.089,0,0.027,0.032,0.0,0
0,100,0.667,0.015,0.204,0.048,0,0.031,0.037,0.0,0
0,100,0.667,0.015,0.204,0.041,0,0.032,0.038,0.0,0
0,100,0.667,0.015,0.204,0.0,0,0.04,0.04,0.0,0
0,100,0.667,0.015,0.612,1.0,0,0.297,0.367,0.0,0
0,100,0.667,0.015,0.612,0.451,0,0.109,0.166,0.0,0
0,100,0.667,0.015,0.612,0.313,0,0.059,0.102,0.0,0
0,100,0.667,0.015,0.612,0.129,0,0.02,0.021,0.0,0
0,100,0.667,0.015,0.612,0.089,0,0.027,0.032,0.0,0
0,100,0.667,0.015,0.612,0.048,0,0.031,0.037,0.0,0
0,100,0.667,0.015,0.612,0.041,0,0.032,0.038,0.0,0
0,100,0.667,0.015,0.612,0.0,0,0.04,0.04,0.0,0
0,100,0.667,0.015,1.02,1.0,0,0.297,0.367,0.0,0
0,100,0.667,0.015,1.02,0.451,0,0.109,0.166,0.0,0
0,100,0.667,0.015,1.02,0.313,0,0.059,0.102,0.0,0
0,100,0.667,0.015,1.02,0.129,0,0.02,0.021,0.0,0
0,100,0.667,0.015,1.02,0.089,0,0.027,0.032,0.0,0
0,100,0.667,0.015,1.02,0.048,0,0.031,0.037,0.0,0
0,100,0.667,0.015,1.02,0.041,0,0.032,0.038,0.0,0
0,100,0.667,0.015,1.02,0.0,0,0.04,0.04,0.0,0
0,100,0.667,0.025,0.02,1.0,0,0.072,0.289,0.0,0
0,100,0.667,0.025,0.02,0.451,0,0.041,0.127,0.0,0
0,100,0.667,0.025,0.02,0.313,0,0.037,0.098,0.0,0
0,100,0.667,0.025,0.02,0.129,0,0.022,0.024,0.0,0
0,100,0.667,0.025,0.02,0.089,0,0.025,0.029,0.0,0
0,100,0.667,0.025,0.02,0.048,0,0.03,0.036,0.0,0
0,100,0.667,0.025,0.02,0.041,0,0.032,0.038,0.0,0
0,100,0.667,0.025,0.02,0.0,0,0.04,0.04,0.0,0
0,100,0.667,0.025,0.082,1.0,0,0.101,0.321,0.0,0
0,100,0.667,0.025,0.082,0.451,0,0.032,0.1,0.005,0
0,100,0.667,0.025,0.082,0.313,0,0.023,0.063,0.003,0
0,100,0.667,0.025,0.082,0.129,0,0.02,0.022,0.0,0
0,100,0.667,0.025,0.082,0.089,0,0.027,0.032,0.0,0
0,100,0.667,0.025,0.082,0.048,0,0.031,0.037,0.0,0
0,100,0.667,0.025,0.082,0.041,0,0.032,0.038,0.0,0
0,100,0.667,0.025,0.082,0.0,0,0.04,0.04,0.0,0
0,100,0.667,0.025,0.204,1.0,0,0.191,0.303,0.0,0
0,100,0.667,0.025,0.204,0.451,0,0.048,0.099,0.0,0
0,100,0.667,0.025,0.204,0.313,0,0.024,0.059,0.003,0
0,100,0.667,0.025,0.204,0.129,0,0.02,0.021,0.0,0
0,100,0.667,0.025,0.204,0.089,0,0.027,0.032,0.0,0
0,100,0.667,0.025,0.204,0.048,0,0.031,0.037,0.0,0
0,100,0.667,0.025,0.204,0.041,0,0.032,0.038,0.0,0
0,100,0.667,0.025,0.204,0.0,0,0.04,0.04,0.0,0
0,100,0.667,0.025,0.612,1.0,0,0.229,0.297,0.0,0
0,100,0.667,0.025,0.612,0.451,0,0.048,0.098,0.0,0
0,100,0.667,0.025,0.612,0.313,0,0.024,0.059,0.003,0
0,100,0.667,0.025,0.612,0.129,0,0.02,0.021,0.0,0
0,100,0.667,0.025,0.612,0.089,0,0.027,0.032,0.0,0
0,100,0.667,0.025,0.612,0.048,0,0.031,0.037,0.0,0
0,100,0.667,0.025,0.612,0.041,0,0.032,0.038,0.0,0
0,100,0.667,0.025,0.612,0.0,0,0.04,0.04,0.0,0
0,100,0.667,0.025,1.02,1.0,0,0.229,0.298,0.0,0
0,100,0.667,0.025,1.02,0.451,0,0.048,0.098,0.0,0
0,100,0.667,0.025,1.02,0.313,0,0.024,0.059,0.003,0
0,100,0.667,0.025,1.02,0.129,0,0.02,0.021,0.0,0
0,100,0.667,0.025,1.02,0.089,0,0.027,0.032,0.0,0
0,100,0.667,0.025,1.02,0.048,0,0.031,0.037,0.0,0
0,100,0.667,0.025,1.02,0.041,0,0.032,0.038,0.0,0
0,100,0.667,0.025,1.02,0.0,0,0.04,0.04,0.0,0
0,100,0.667,0.035,0.02,1.0,0,0.072,0.289,0.0,0
0,100,0.667,0.035,0.02,0.451,0,0.041,0.127,0.0,0
0,100,0.667,0.035,0.02,0.313,0,0.037,0.098,0.0,0
0,100,0.667,0.035,0.02,0.129,0,0.022,0.024,0.0,0
0,100,0.667,0.035,0.02,0.089,0,0.025,0.029,0.0,0
0,100,0.667,0.035,0.02,0.048,0,0.03,0.036,0.0,0
0,100,0.667,0.035,0.02,0.041,0,0.032,0.038,0.0,0
0,100,0.667,0.035,0.02,0.0,0,0.04,0.04,0.0,0
0,100,0.667,0.035,0.082,1.0,0,0.067,0.287,0.0,0
0,100,0.667,0.035,0.082,0.451,0,0.023,0.085,0.011,0
0,100,0.667,0.035,0.082,0.313,0,0.021,0.062,0.007,0
0,100,0.667,0.035,0.082,0.129,0,0.02,0.022,0.0,0
0,100,0.667,0.035,0.082,0.089,0,0.027,0.032,0.0,0
0,100,0.667,0.035,0.082,0.048,0,0.031,0.037,0.0,0
0,100,0.667,0.035,0.082,0.041,0,0.032,0.038,0.0,0
0,100,0.667,0.035,0.082,0.0,0,0.04,0.04,0.0,0
0,100,0.667,0.035,0.204,1.0,0,0.13,0.279,0.0,0
0,100,0.667,0.035,0.204,0.451,0,0.025,0.069,0.004,0
0,100,0.667,0.035,0.204,0.313,0,0.02,0.057,0.007,0
0,100,0.667,0.035,0.204,0.129,0,0.02,0.021,0.0,0
0,100,0.667,0.035,0.204,0.089,0,0.027,0.032,0.0,0
0,100,0.667,0.035,0.204,0.048,0,0.031,0.037,0.0,0
0,100,0.667,0.035,0.204,0.041,0,0.032,0.038,0.0,0
0,100,0.667,0.035,0.204,0.0,0,0.04,0.04,0.0,0
0,100,0.667,0.035,0.612,1.0,0,0.183,0.277,0.0,0
0,100,0.667,0.035,0.612,0.451,0,0.026,0.072,0.004,0
0,100,0.667,0.035,0.612,0.313,0,0.02,0.056,0.007,0
0,100,0.667,0.035,0.612,0.129,0,0.02,0.021,0.0,0
0,100,0.667,0.035,0.612,0.089,0,0.027,0.032,0.0,0
0,100,0.667,0.035,0.612,0.048,0,0.031,0.037,0.0,0
0,100,0.667,0.035,0.612,0.041,0,0.032,0.038,0.0,0
0,100,0.667,0.035,0.612,0.0,0,0.04,0.04,0.0,0
0,100,0.667,0.035,1.02,1.0,0,0.183,0.276,0.0,0
0,100,0.667,0.035,1.02,0.451,0,0.026,0.072,0.004,0
0,100,0.667,0.035,1.02,0.313,0,0.02,0.056,0.007,0
0,100,0.667,0.035,1.02,0.129,0,0.02,0.021,0.0,0
0,100,0.667,0.035,1.02,0.089,0,0.027,0.032,0.0,0
0,100,0.667,0.035,1.02,0.048,0,0.031,0.037,0.0,0
0,100,0.667,0.035,1.02,0.041,0,0.032,0.038,0.0,0
0,100,0.667,0.035,1.02,0.0,0,0.04,0.04,0.0,0
0,100,0.667,0.055,0.02,1.0,0,0.072,0.289,0.0,0
0,100,0.667,0.055,0.02,0.451,0,0.041,0.127,0.0,0
0,100,0.667,0.055,0.02,0.313,0,0.037,0.098,0.0,0
0,100,0.667,0.055,0.02,0.129,0,0.022,0.024,0.0,0
0,100,0.667,0.055,0.02,0.089,0,0.025,0.029,0.0,0
0,100,0.667,0.055,0.02,0.048,0,0.03,0.036,0.0,0
0,100,0.667,0.055,0.02,0.041,0,0.032,0.038,0.0,0
0,100,0.667,0.055,0.02,0.0,0,0.04,0.04,0.0,0
0,100,0.667,0.055,0.082,1.0,0,0.037,0.217,0.0,0
0,100,0.667,0.055,0.082,0.451,0,0.023,0.085,0.011,0
0,100,0.667,0.055,0.082,0.313,0,0.021,0.062,0.007,0
0,100,0.667,0.055,0.082,0.129,0,0.02,0.022,0.0,0
0,100,0.667,0.055,0.082,0.089,0,0.027,0.032,0.0,0
0,100,0.667,0.055,0.082,0.048,0,0.031,0.037,0.0,0
0,100,0.667,0.055,0.082,0.041,0,0.032,0.038,0.0,0
0,100,0.667,0.055,0.082,0.0,0,0.04,0.04,0.0,0
0,100,0.667,0.055,0.204,1.0,0,0.063,0.245,0.001,0
0,100,0.667,0.055,0.204,0.451,0,0.016,0.055,0.013,0
0,100,0.667,0.055,0.204,0.313,0,0.019,0.055,0.007,0
0,100,0.667,0.055,0.204,0.129,0,0.02,0.021,0.0,0
0,100,0.667,0.055,0.204,0.089,0,0.027,0.032,0.0,0
0,100,0.667,0.055,0.204,0.048,0,0.031,0.037,0.0,0
0,100,0.667,0.055,0.204,0.041,0,0.032,0.038,0.0,0
0,100,0.667,0.055,0.204,0.0,0,0.04,0.04,0.0,0
0,100,0.667,0.055,0.612,1.0,0,0.121,0.225,0.0,0
0,100,0.667,0.055,0.612,0.451,0,0.017,0.053,0.009,0
0,100,0.667,0.055,0.612,0.313,0,0.019,0.055,0.007,0
0,100,0.667,0.055,0.612,0.129,0,0.02,0.021,0.0,0
0,100,0.667,0.055,0.612,0.089,0,0.027,0.032,0.0,0
0,100,0.667,0.055,0.612,0.048,0,0.031,0.037,0.0,0
0,100,0.667,0.055,0.612,0.041,0,0.032,0.038,0.0,0
0,100,0.667,0.055,0.612,0.0,0,0.04,0.04,0.0,0
0,100,0.667,0.055,1.02,1.0,0,0.122,0.224,0.0,0
0,100,0.667,0.055,1.02,0.451,0,0.017,0.053,0.009,0
0,100,0.667,0.055,1.02,0.313,0,0.019,0.055,0.007,0
0,100,0.667,0.055,1.02,0.129,0,0.02,0.021,0.0,0
0,100,0.667,0.055,1.02,0.089,0,0.027,0.032,0.0,0
0,100,0.667,0.055,1.02,0.048,0,0.031,0.037,0.0,0
0,100,0.667,0.055,1.02,0.041,0,0.032,0.038,0.0,0
0,100,0.667,0.055,1.02,0.0,0,0.04,0.04,0.0,0
0,100,0.667,0.105,0.02,1.0,0,0.072,0.289,0.0,0
0,100,0.667,0.105,0.02,0.451,0,0.041,0.127,0.0,0
0,100,0.667,0.105,0.02,0.313,0,0.037,0.098,0.0,0
0,100,0.667,0.105,0.02,0.129,0,0.022,0.024,0.0,0
0,100,0.667,0.105,0.02,0.089,0,0.025,0.029,0.0,0
0,100,0.667,0.105,0.02,0.048,0,0.03,0.036,0.0,0
0,100,0.667,0.105,0.02,0.041,0,0.032,0.038,0.0,0
0,100,0.667,0.105,0.02,0.0,0,0.04,0.04,0.0,0
0,100,0.667,0.105,0.082,1.0,0,0.036,0.211,0.0,0
0,100,0.667,0.105,0.082,0.451,0,0.023,0.085,0.011,0
0,100,0.667,0.105,0.082,0.313,0,0.021,0.062,0.007,0
0,100,0.667,0.105,0.082,0.129,0,0.02,0.022,0.0,0
0,100,0.667,0.105,0.082,0.089,0,0.027,0.032,0.0,0
0,100,0.667,0.105,0.082,0.048,0,0.031,0.037,0.0,0
0,100,0.667,0.105,0.082,0.041,0,0.032,0.038,0.0,0
0,100,0.667,0.105,0.082,0.0,0,0.04,0.04,0.0,0
0,100,0.667,0.105,0.204,1.0,0,0.023,0.162,0.007,0
0,100,0.667,0.105,0.204,0.451,0,0.016,0.054,0.014,0
0,100,0.667,0.105,0.204,0.313,0,0.019,0.055,0.007,0
0,100,0.667,0.105,0.204,0.129,0,0.02,0.021,0.0,0
0,100,0.667,0.105,0.204,0.089,0,0.027,0.032,0.0,0
0,100,0.667,0.105,0.204,0.048,0,0.031,0.037,0.0,0
0,100,0.667,0.105,0.204,0.041,0,0.032,0.038,0.0,0
0,100,0.667,0.105,0.204,0.0,0,0.04,0.04,0.0,0
0,100,0.667,0.105,0.612,1.0,0,0.044,0.161,0.004,0
0,100,0.667,0.105,0.612,0.451,0,0.016,0.053,0.014,0
0,100,0.667,0.105,0.612,0.313,0,0.019,0.055,0.007,0
0,100,0.667,0.105,0.612,0.129,0,0.02,0.021,0.0,0
0,100,0.667,0.105,0.612,0.089,0,0.027,0.032,0.0,0
0,100,0.667,0.105,0.612,0.048,0,0.031,0.037,0.0,0
0,100,0.667,0.105,0.612,0.041,0,0.032,0.038,0.0,0
0,100,0.667,0.105,0.612,0.0,0,0.04,0.04,0.0,0
0,100,0.667,0.105,1.02,1.0,0,0.045,0.156,0.004,0
0,100,0.667,0.105,1.02,0.451,0,0.016,0.053,0.014,0
0,100,0.667,0.105,1.02,0.313,0,0.019,0.055,0.007,0
0,100,0.667,0.105,1.02,0.129,0,0.02,0.021,0.0,0
0,100,0.667,0.105,1.02,0.089,0,0.027,0.032,0.0,0
0,100,0.667,0.105,1.02,0.048,0,0.031,0.037,0.0,0
0,100,0.667,0.105,1.02,0.041,0,0.032,0.038,0.0,0
0,100,0.667,0.105,1.02,0.0,0,0.04,0.04,0.0,0
0,100,0.667,0.135,0.02,1.0,0,0.072,0.289,0.0,0
0,100,0.667,0.135,0.02,0.451,0,0.041,0.127,0.0,0
0,100,0.667,0.135,0.02,0.313,0,0.037,0.098,0.0,0
0,100,0.667,0.135,0.02,0.129,0,0.022,0.024,0.0,0
0,100,0.667,0.135,0.02,0.089,0,0.025,0.029,0.0,0
0,100,0.667,0.135,0.02,0.048,0,0.03,0.036,0.0,0
0,100,0.667,0.135,0.02,0.041,0,0.032,0.038,0.0,0
0,100,0.667,0.135,0.02,0.0,0,0.04,0.04,0.0,0
0,100,0.667,0.135,0.082,1.0,0,0.036,0.211,0.0,0
0,100,0.667,0.135,0.082,0.451,0,0.023,0.085,0.011,0
0,100,0.667,0.135,0.082,0.313,0,0.021,0.062,0.007,0
0,100,0.667,0.135,0.082,0.129,0,0.02,0.022,0.0,0
0,100,0.667,0.135,0.082,0.089,0,0.027,0.032,0.0,0
0,100,0.667,0.135,0.082,0.048,0,0.031,0.037,0.0,0
0,100,0.667,0.135,0.082,0.041,0,0.032,0.038,0.0,0
0,100,0.667,0.135,0.082,0.0,0,0.04,0.04,0.0,0
0,100,0.667,0.135,0.204,1.0,0,0.021,0.151,0.007,0
0,100,0.667,0.135,0.204,0.451,0,0.016,0.054,0.014,0
0,100,0.667,0.135,0.204,0.313,0,0.019,0.055,0.007,0
0,100,0.667,0.135,0.204,0.129,0,0.02,0.021,0.0,0
0,100,0.667,0.135,0.204,0.089,0,0.027,0.032,0.0,0
0,100,0.667,0.135,0.204,0.048,0,0.031,0.037,0.0,0
0,100,0.667,0.135,0.204,0.041,0,0.032,0.038,0.0,0
0,100,0.667,0.135,0.204,0.0,0,0.04,0.04,0.0,0
0,100,0.667,0.135,0.612,1.0,0,0.025,0.136,0.004,0
0,100,0.667,0.135,0.612,0.451,0,0.016,0.053,0.014,0
0,100,0.667,0.135,0.612,0.313,0,0.019,0.055,0.007,0
0,100,0.667,0.135,0.612,0.129,0,0.02,0.021,0.0,0
0,100,0.667,0.135,0.612,0.089,0,0.027,0.032,0.0,0
0,100,0.667,0.135,0.612,0.048,0,0.031,0.037,0.0,0
0,100,0.667,0.135,0.612,0.041,0,0.032,0.038,0.0,0
0,100,0.667,0.135,0.612,0.0,0,0.04,0.04,0.0,0
0,100,0.667,0.135,1.02,1.0,0,0.027,0.132,0.004,0
0,100,0.667,0.135,1.02,0.451,0,0.016,0.053,0.014,0
0,100,0.667,0.135,1.02,0.313,0,0.019,0.055,0.007,0
0,100,0.667,0.135,1.02,0.129,0,0.02,0.021,0.0,0
0,100,0.667,0.135,1.02,0.089,0,0.027,0.032,0.0,0
0,100,0.667,0.135,1.02,0.048,0,0.031,0.037,0.0,0
